source,target,weight
SAN,BAH,1
CAM,FOR,1
PAL,FLA,2
GRE,CEA,1
COR,ACG,1
AME,CAP,1
CHA,RBB,1
SPA,ACG,1
CEA,SAN,1
CUI,FLU,1
AME,COR,1
INT,FOR,1
CHA,PAL,2
JUV,CAP,2
SPO,CAM,2
AME,FLA,1
SPA,CAM,1
GRE,CAP,2
SPO,FOR,2
BAH,INT,2
ACG,CUI,1
INT,CAM,2
COR,RBB,1
JUV,PAL,1
CEA,BAH,1
SAN,FLU,1
GRE,SPO,2
FLA,RBB,1
AME,PAL,1
SPA,SAN,1
ACG,CAP,2
SPO,JUV,1
CUI,GRE,1
FOR,FLA,2
PAL,RBB,2
FLU,ACG,1
SPO,COR,1
CAM,CEA,1
CHA,INT,2
CAP,BAH,2
FLA,JUV,1
BAH,PAL,1
CAM,SAN,1
ACG,RBB,2
FLU,CAP,1
CHA,FOR,2
INT,PAL,2
BAH,AME,1
GRE,JUV,1
ACG,CAM,1
CUI,FLA,1
SAN,AME,2
FOR,CAP,1
CHA,BAH,2
FLA,FLU,2
SPO,PAL,2
SPA,RBB,2
JUV,CEA,1
CUI,CAM,2
GRE,ACG,2
CAP,SAN,2
AME,FOR,1
JUV,BAH,1
GRE,PAL,2
FLA,CAM,1
INT,SPA,2
CHA,COR,2
SAN,PAL,2
BAH,SPA,1
AME,CAM,2
SPO,FLU,2
CHA,FLA,1
COR,FOR,1
SPA,FOR,1
CAP,CEA,1
COR,CAM,2
FLU,GRE,2
CHA,CUI,1
ACG,PAL,2
BAH,FLA,2
JUV,INT,1
AME,SPO,1
FLU,PAL,1
BAH,CAM,2
SPA,FLA,2
RBB,FOR,1
SAN,ACG,1
INT,CAP,1
CHA,JUV,2
CUI,COR,2
GRE,RBB,1
COR,FLA,2
CAP,CAM,2
BAH,SPO,2
CHA,SAN,2
FOR,CEA,2
CAP,SPA,1
PAL,FOR,2
FLU,AME,1
JUV,CAM,2
FLA,INT,1
CHA,GRE,2
RBB,JUV,2
PAL,CAM,1
GRE,SPA,1
SPO,FLA,1
CEA,COR,1
BAH,ACG,2
CAP,CUI,1
FLU,INT,1
BAH,GRE,1
PAL,CUI,1
CAP,COR,2
SPO,SPA,2
AME,RBB,1
SAN,FLA,1
CAP,PAL,1
GRE,COR,1
CEA,AME,1
BAH,FLU,1
FOR,BAH,1
SAN,CUI,1
CHA,FLU,2
CEA,PAL,2
GRE,CAM,1
ACG,FLA,1
CAP,AME,1
JUV,CUI,1
RBB,CHA,1
CEA,GRE,1
FOR,CAM,1
SPA,FLU,1
SPO,INT,1
FOR,INT,1
ACG,SPA,1
FLA,GRE,1
CHA,CEA,1
PAL,COR,1
RBB,FLU,1
SAN,JUV,1
FOR,ACG,1
CUI,AME,1
CAP,FLA,1
FLU,SAN,1
BAH,COR,1
JUV,SPO,1
FLU,FOR,1
PAL,AME,1
CEA,CAM,1
COR,SPO,1
GRE,SAN,1
JUV,FLA,1
SAN,CAM,1
GRE,FOR,1
FLU,COR,1
AME,INT,1
SPO,CUI,1
CAP,FLU,1
JUV,GRE,1
CAM,ACG,1
COR,SPA,1
CAP,FOR,1
CAM,FLA,1
FOR,AME,1
FLU,CEA,1
ACG,SPO,1
RBB,CUI,1
FOR,COR,1
GRE,INT,1
RBB,CAP,1
SPA,BAH,1
CUI,CEA,1
CEA,CAP,1
RBB,SAN,1
SPO,AME,1
INT,JUV,1
GRE,AME,1
CAP,INT,1
FOR,RBB,1
PAL,FLU,1
SPO,CEA,1
RBB,GRE,1
INT,CUI,1
PAL,SPA,1
FLU,JUV,1
SPO,RBB,1
INT,FLA,1
SAN,COR,1
AME,FLU,1
INT,FLU,1
FOR,SAN,1
COR,CEA,1
CHA,AME,1
SPA,GRE,1
CUI,CAP,1
GRE,BAH,1
FLU,CAM,1
CEA,FLA,1
CUI,PAL,1
CHA,ACG,1
JUV,FOR,1
RBB,CAM,1
FLU,BAH,1
JUV,SPA,1
FLA,SAN,1
INT,ACG,1
FOR,CUI,1
CHA,SPO,1
SPA,AME,1
CAM,GRE,1
BAH,FOR,1
INT,RBB,1
COR,JUV,1
FLA,ACG,1
